bin,left,right,data,expected
0,-6.0,-5.99,0.0,0.032688813058467936
1,-5.99,-5.98,0.0,0.03345023325509455
2,-5.98,-5.97,0.0,0.034229388852655696
3,-5.97,-5.96,0.0,0.035026693126658515
4,-5.96,-5.95,0.0,0.03584256948000242
5,-5.95,-5.94,0.0,0.03667744988491872
6,-5.94,-5.93,0.0,0.03753177683054609
7,-5.93,-5.92,0.0,0.038406003712445624
8,-5.92,-5.91,0.0,0.03930059444308576
9,-5.91,-5.9,0.0,0.04021602189378193
10,-5.9,-5.89,0.0,0.04115277334790779
11,-5.89,-5.88,0.0,0.04211134387913873
12,-5.88,-5.87,0.0,0.04309224258369326
13,-5.87,-5.86,0.0,0.04409598946421234
14,-5.86,-5.85,1.0,0.045123116208789504
15,-5.85,-5.84,0.0,0.046174168138546356
16,-5.84,-5.83,0.0,0.047249701870542005
17,-5.83,-5.82,0.0,0.04835028843389377
18,-5.82,-5.81,0.0,0.04947651054317159
19,-5.81,-5.8,0.0,0.05062896571451869
20,-5.8,-5.79,0.0,0.05180826509710634
21,-5.79,-5.78,0.0,0.05301503386264894
22,-5.78,-5.77,0.0,0.0542499115949191
23,-5.77,-5.76,0.0,0.055513553847807984
24,-5.76,-5.75,0.0,0.05680662941871972
25,-5.75,-5.74,0.0,0.058129825022752435
26,-5.74,-5.73,0.0,0.059483841397547366
27,-5.73,-5.72,0.0,0.060869397198439756
28,-5.72,-5.71,0.0,0.06228722666136832
29,-5.71,-5.7,0.0,0.0637380811609356
30,-5.7,-5.69,0.0,0.0652227307684683
31,-5.69,-5.68,0.0,0.06674196191492676
32,-5.68,-5.67,0.0,0.0682965805070257
33,-5.67,-5.66,0.0,0.06988741114820396
34,-5.66,-5.65,0.0,0.07151529635959442
35,-5.65,-5.64,0.0,0.0731811000856597
36,-5.64,-5.63,0.0,0.0748857053571017
37,-5.63,-5.62,0.0,0.07663001623843702
38,-5.62,-5.61,0.0,0.07841495626993655
39,-5.61,-5.6,0.0,0.0802414739208368
40,-5.6,-5.59,0.0,0.08211053596758333
41,-5.59,-5.58,1.0,0.08402313372607217
42,-5.58,-5.57,0.0,0.08598028227261967
43,-5.57,-5.56,0.0,0.08798301810687192
44,-5.56,-5.55,0.0,0.0900324030469557
45,-5.55,-5.54,0.0,0.09212952539802366
46,-5.54,-5.53,0.0,0.09427549488855824
47,-5.53,-5.52,0.0,0.0964714504606734
48,-5.52,-5.51,0.0,0.09871855676447883
49,-5.51,-5.5,0.0,0.10101800454759502
50,-5.5,-5.49,0.0,0.10337101299224383
51,-5.49,-5.48,0.0,0.10577883010476352
52,-5.48,-5.47,1.0,0.10824273193657863
53,-5.47,-5.46,0.0,0.11076402608983571
54,-5.46,-5.45,1.0,0.11334404782225249
55,-5.45,-5.4399999999999995,0.0,0.11598416588984417
56,-5.4399999999999995,-5.43,0.0,0.11868578059934798
57,-5.43,-5.42,0.0,0.12145032302919301
58,-5.42,-5.41,0.0,0.12427926048271143
59,-5.41,-5.4,0.0,0.12717409142444236
60,-5.4,-5.39,0.0,0.13013635210188834
61,-5.39,-5.38,0.0,0.1331676118713343
62,-5.38,-5.37,1.0,0.13626947904057385
63,-5.37,-5.36,0.0,0.1394435973632735
64,-5.36,-5.35,0.0,0.14269165032363862
65,-5.35,-5.34,0.0,0.1460153595783531
66,-5.34,-5.33,0.0,0.1494164884622151
67,-5.33,-5.32,1.0,0.15289683848250135
68,-5.32,-5.31,0.0,0.15645825671975366
69,-5.31,-5.3,0.0,0.16010263037456784
70,-5.3,-5.29,0.0,0.16383189222080485
71,-5.29,-5.28,0.0,0.16764801904753046
