bin,left,right,data,expected
0,-1.0,-0.99,0.0,7.778665593279433e-10
1,-0.99,-0.98,0.0,7.851494882294397e-10
2,-0.98,-0.97,0.0,7.926992108463332e-10
3,-0.97,-0.96,0.0,8.004547719572076e-10
4,-0.96,-0.95,0.0,8.085115278843827e-10
5,-0.95,-0.94,0.0,8.168062656068418e-10
6,-0.94,-0.9299999999999999,0.0,8.253837953361666e-10
7,-0.9299999999999999,-0.92,0.0,8.342632283488042e-10
8,-0.92,-0.91,0.0,8.434406259250623e-10
9,-0.91,-0.9,0.0,8.529302165655275e-10
10,-0.9,-0.89,0.0,8.627622966036133e-10
11,-0.89,-0.88,0.0,8.729257777760385e-10
12,-0.88,-0.87,0.0,8.834449989081229e-10
13,-0.87,-0.86,0.0,8.943403596237429e-10
14,-0.86,-0.85,0.0,9.056285850735653e-10
15,-0.85,-0.84,0.0,9.173061060199202e-10
16,-0.84,-0.83,0.0,9.294501431736495e-10
17,-0.83,-0.8200000000000001,0.0,9.419838934529861e-10
18,-0.8200000000000001,-0.81,0.0,9.55024247737429e-10
19,-0.81,-0.8,0.0,9.685215527439555e-10
20,-0.8,-0.79,0.0,9.825485546375369e-10
21,-0.79,-0.78,0.0,9.970956147320965e-10
22,-0.78,-0.77,0.0,1.012194512080572e-09
23,-0.77,-0.76,0.0,1.0278715936445803e-09
24,-0.76,-0.75,0.0,1.0441755692140884e-09
25,-0.75,-0.74,0.0,1.0611077313359115e-09
26,-0.74,-0.73,0.0,1.0787186805504208e-09
27,-0.73,-0.72,0.0,1.097038613698253e-09
28,-0.72,-0.71,0.0,1.116079281702913e-09
29,-0.71,-0.7,0.0,1.1359091574797524e-09
30,-0.7,-0.69,0.0,1.1565512524185393e-09
31,-0.69,-0.6799999999999999,0.0,1.1780695253774085e-09
32,-0.6799999999999999,-0.6699999999999999,0.0,1.2004613186117158e-09
33,-0.6699999999999999,-0.6599999999999999,0.0,1.223831682860033e-09
34,-0.6599999999999999,-0.6499999999999999,0.0,1.2481958102263146e-09
35,-0.6499999999999999,-0.64,0.0,1.2736163207784226e-09
36,-0.64,-0.63,0.0,1.300145618632509e-09
37,-0.63,-0.62,0.0,1.3278570726323048e-09
38,-0.62,-0.61,0.0,1.3568024551463398e-09
39,-0.61,-0.6,0.0,1.3870623901790106e-09
40,-0.6,-0.59,0.0,1.4187046682980575e-09
