bin,left,right,data,expected
0,-6.0,-5.989998589047036,3.0,4.17047376048616
1,-5.989998589047036,-5.979997178094071,5.0,4.267629434676494
2,-5.979997178094071,-5.969995767141107,6.0,4.367048427607529
3,-5.969995767141107,-5.959994356188143,6.0,4.468783468336075
4,-5.959994356188143,-5.949992945235178,6.0,4.572888508247246
5,-5.949992945235178,-5.939991534282214,5.0,4.679418760804976
6,-5.939991534282214,-5.929990123329249,6.0,4.788430713477174
7,-5.929990123329249,-5.919988712376285,3.0,4.899982189349017
8,-5.919988712376285,-5.909987301423321,3.0,5.014132335197798
9,-5.909987301423321,-5.899985890470356,6.0,5.1309416990064305
10,-5.899985890470356,-5.889984479517392,4.0,5.250472220025815
11,-5.889984479517392,-5.879983068564428,12.0,5.372787288400613
12,-5.879983068564428,-5.869981657611463,4.0,5.497951774982135
13,-5.869981657611463,-5.859980246658499,5.0,5.626032053191117
14,-5.859980246658499,-5.849978835705534,6.0,5.757096046718342
15,-5.849978835705534,-5.83997742475257,5.0,5.8912132653001015
16,-5.83997742475257,-5.829976013799606,9.0,6.028454828568504
17,-5.829976013799606,-5.819974602846641,7.0,6.168893519714667
18,-5.819974602846641,-5.809973191893677,2.0,6.312603817289131
19,-5.809973191893677,-5.799971780940713,2.0,6.459661930977321
20,-5.799971780940713,-5.789970369987748,5.0,6.610145847312636
21,-5.789970369987748,-5.779968959034784,4.0,6.764135375389544
22,-5.779968959034784,-5.769967548081819,4.0,6.921712168726359
23,-5.769967548081819,-5.759966137128855,4.0,7.082959796816173
24,-5.759966137128855,-5.749964726175891,7.0,7.247963770964683
25,-5.749964726175891,-5.739963315222926,8.0,7.416811595965864
26,-5.739963315222926,-5.729961904269962,9.0,7.589592803889906
27,-5.729961904269962,-5.719960493316998,4.0,7.766399033584239
28,-5.719960493316998,-5.709959082364033,12.0,7.947324036636112
29,-5.709959082364033,-5.699957671411069,6.0,8.132463764823722
30,-5.699957671411069,-5.689956260458105,5.0,8.321916389991477
31,-5.689956260458105,-5.67995484950514,13.0,8.515782387526066
32,-5.67995484950514,-5.669953438552176,8.0,8.714164558219245
33,-5.669953438552176,-5.6599520275992115,10.0,8.917168103793824
34,-5.6599520275992115,-5.649950616646247,11.0,9.124900678579317
35,-5.649950616646247,-5.639949205693283,10.0,9.337472441187625
36,-5.639949205693283,-5.6299477947403185,8.0,9.554996116126322
37,-5.6299477947403185,-5.6199463837873544,4.0,9.777587053424437
38,-5.6199463837873544,-5.60994497283439,5.0,10.005363288258216
39,-5.60994497283439,-5.5999435618814255,7.0,10.238445614489574
40,-5.5999435618814255,-5.5899421509284615,9.0,10.476957624416618
41,-5.5899421509284615,-5.5799407399754966,9.0,10.721025800199815
42,-5.5799407399754966,-5.5699393290225325,11.0,10.970779565537669
43,-5.5699393290225325,-5.5599379180695685,12.0,11.226351365167751
44,-5.5599379180695685,-5.549936507116604,12.0,11.487876712567306
45,-5.549936507116604,-5.5399350961636395,13.0,11.755494297279654
46,-5.5399350961636395,-5.5299336852106755,8.0,12.02934602466469
47,-5.5299336852106755,-5.519932274257711,17.0,12.309577111300133
48,-5.519932274257711,-5.509930863304747,12.0,12.596336158519957
49,-5.509930863304747,-5.4999294523517825,8.0,12.889775219990284
50,-5.4999294523517825,-5.489928041398818,16.0,13.190049899098138
51,-5.489928041398818,-5.479926630445854,13.0,13.497319420502357
52,-5.479926630445854,-5.469925219492889,17.0,13.811746713609697
53,-5.469925219492889,-5.459923808539925,14.0,14.133498507976036
54,-5.459923808539925,-5.449922397586961,11.0,14.462745416782482
55,-5.449922397586961,-5.439920986633996,16.0,14.79966201832391
56,-5.439920986633996,-5.429919575681032,15.0,15.144426967310398
57,-5.429919575681032,-5.419918164728068,16.0,15.497223072380745
58,-5.419918164728068,-5.409916753775103,13.0,15.858237403428848
59,-5.409916753775103,-5.399915342822139,14.0,16.227661383029883
60,-5.399915342822139,-5.389913931869174,16.0,16.605690893766692
61,-5.389913931869174,-5.37991252091621,23.0,16.992526383568666
62,-5.37991252091621,-5.369911109963246,11.0,17.388372963100466
63,-5.369911109963246,-5.359909699010281,14.0,17.79344052302607
64,-5.359909699010281,-5.349908288057317,16.0,18.207943843322685
65,-5.349908288057317,-5.339906877104353,14.0,18.63210269663206
66,-5.339906877104353,-5.329905466151388,15.0,19.066141989374835
67,-5.329905466151388,-5.319904055198424,20.0,19.510291853176717
68,-5.319904055198424,-5.30990264424546,14.0,19.964787778032687
69,-5.30990264424546,-5.299901233292495,25.0,20.42987074745877
70,-5.299901233292495,-5.289899822339531,21.0,20.905787353768517
71,-5.289899822339531,-5.279898411386566,13.0,21.392789925274638
72,-5.279898411386566,-5.269897000433602,26.0,21.891136667403345
73,-5.269897000433602,-5.259895589480638,17.0,22.401091811758764
74,-5.259895589480638,-5.249894178527673,25.0,22.92292572344934
75,-5.249894178527673,-5.239892767574709,22.0,23.456915075990075
76,-5.239892767574709,-5.229891356621745,32.0,24.00334298049173
77,-5.229891356621745,-5.21988994566878,30.0,24.562499142675314
78,-5.21988994566878,-5.209888534715816,24.0,25.13468001591161
79,-5.209888534715816,-5.199887123762851,37.0,25.720188948298034
80,-5.199887123762851,-5.189885712809887,27.0,26.319336363523504
81,-5.189885712809887,-5.179884301856923,20.0,26.932439899995224
82,-5.179884301856923,-5.169882890903958,24.0,27.5598246056162
83,-5.169882890903958,-5.159881479950994,32.0,28.201823084862156
84,-5.159881479950994,-5.14988006899803,29.0,28.85877569554657
85,-5.14988006899803,-5.139878658045065,27.0,29.531030713785302
86,-5.139878658045065,-5.129877247092101,31.0,30.218944526786593
87,-5.129877247092101,-5.119875836139137,38.0,30.92288182365354
88,-5.119875836139137,-5.109874425186172,26.0,31.64321577426138
89,-5.109874425186172,-5.099873014233208,37.0,32.380328245897836
90,-5.099873014233208,-5.089871603280243,31.0,33.13460999804059
91,-5.089871603280243,-5.079870192327279,28.0,33.90646087514731
92,-5.079870192327279,-5.069868781374315,34.0,34.696290043171196
93,-5.069868781374315,-5.05986737042135,33.0,35.504516190301054
94,-5.05986737042135,-5.049865959468386,37.0,36.331567745589176
95,-5.049865959468386,-5.039864548515421,49.0,37.17788311944189
96,-5.039864548515421,-5.029863137562457,39.0,38.04391093019753
97,-5.029863137562457,-5.019861726609493,33.0,38.93011022672929
98,-5.019861726609493,-5.009860315656528,47.0,39.836950760736286
99,-5.009860315656528,-4.999858904703564,31.0,40.76491320735884
100,-4.999858904703564,-4.9898574937506,27.0,41.71448943548203
101,-4.9898574937506,-4.979856082797635,58.0,42.686182762138976
102,-4.979856082797635,-4.969854671844671,43.0,43.68050822281431
103,-4.969854671844671,-4.959853260891707,52.0,44.69799283379758
104,-4.959853260891707,-4.949851849938742,39.0,45.73917589229963
105,-4.949851849938742,-4.939850438985778,47.0,46.8046092308559
106,-4.939850438985778,-4.929849028032814,48.0,47.89485754328064
107,-4.929849028032814,-4.919847617079849,65.0,49.01049865298284
108,-4.919847617079849,-4.909846206126885,50.0,50.1521238389205
109,-4.909846206126885,-4.899844795173921,51.0,51.32033813770452
110,-4.899844795173921,-4.889843384220956,62.0,52.515760671540406
111,-4.889843384220956,-4.879841973267992,53.0,53.73902497020748
112,-4.879841973267992,-4.869840562315027,65.0,54.99077930098813
113,-4.869840562315027,-4.859839151362063,70.0,56.27168702642241
114,-4.859839151362063,-4.849837740409098,48.0,57.58242694218745
115,-4.849837740409098,-4.839836329456134,67.0,58.92369363683959
116,-4.839836329456134,-4.82983491850317,55.0,60.29619786944424
117,-4.82983491850317,-4.8198335075502055,64.0,61.70066692931809
118,-4.8198335075502055,-4.809832096597241,54.0,63.1378450355217
119,-4.809832096597241,-4.799830685644277,59.0,64.60849372045203
120,-4.799830685644277,-4.7898292746913125,75.0,66.11339223728515
121,-4.7898292746913125,-4.7798278637383484,84.0,67.65333796940658
122,-4.7798278637383484,-4.769826452785384,77.0,69.22914684779168
123,-4.769826452785384,-4.7598250418324195,82.0,70.84165379422383
124,-4.7598250418324195,-4.7498236308794555,74.0,72.49171314861253
125,-4.7498236308794555,-4.739822219926491,77.0,74.18019913009931
126,-4.739822219926491,-4.7298208089735265,82.0,75.9080062882261
127,-4.7298208089735265,-4.7198193980205625,90.0,77.67604999186652
128,-4.7198193980205625,-4.7098179870675985,61.0,79.48526689430689
129,-4.7098179870675985,-4.6998165761146335,89.0,81.33661543807779
130,-4.6998165761146335,-4.6898151651616695,80.0,83.23107636376064
131,-4.6898151651616695,-4.679813754208705,87.0,85.16965321680671
132,-4.679813754208705,-4.669812343255741,90.0,87.15337288814415
133,-4.669812343255741,-4.659810932302776,98.0,89.18328614484734
134,-4.659810932302776,-4.649809521349812,88.0,91.2604682025443
135,-4.649809521349812,-4.639808110396848,107.0,93.38601926602364
136,-4.639808110396848,-4.629806699443883,97.0,95.56106513741749
137,-4.629806699443883,-4.619805288490919,110.0,97.78675779655893
138,-4.619805288490919,-4.609803877537955,102.0,100.06427600320235
139,-4.609803877537955,-4.59980246658499,106.0,102.39482592706906
140,-4.59980246658499,-4.589801055632026,106.0,104.77964178584304
141,-4.589801055632026,-4.579799644679062,92.0,107.21998648912924
142,-4.579799644679062,-4.569798233726097,109.0,109.71715230824981
143,-4.569798233726097,-4.559796822773133,122.0,112.2724615539903
144,-4.559796822773133,-4.549795411820169,115.0,114.88726728018378
145,-4.549795411820169,-4.539794000867204,134.0,117.5629539833199
146,-4.539794000867204,-4.52979258991424,137.0,120.30093835382961
147,-4.52979258991424,-4.519791178961275,133.0,123.10266999556939
148,-4.519791178961275,-4.509789768008311,152.0,125.96963221685657
149,-4.509789768008311,-4.499788357055347,144.0,128.90334278374155
150,-4.499788357055347,-4.489786946102382,133.0,131.9053547448309
151,-4.489786946102382,-4.479785535149418,139.0,134.97725723027278
152,-4.479785535149418,-4.469784124196453,147.0,138.12067629645531
153,-4.469784124196453,-4.459782713243489,150.0,141.3372757866052
154,-4.459782713243489,-4.449781302290525,159.0,144.62875818741136
155,-4.449781302290525,-4.43977989133756,149.0,147.99686554726176
156,-4.43977989133756,-4.429778480384596,130.0,151.44338038255506
157,-4.429778480384596,-4.419777069431632,153.0,154.9701266058753
158,-4.419777069431632,-4.409775658478667,158.0,158.57897050186682
159,-4.409775658478667,-4.399774247525703,154.0,162.27182169913445
160,-4.399774247525703,-4.389772836572739,163.0,166.05063417195646
161,-4.389772836572739,-4.379771425619774,166.0,169.9174072698228
162,-4.379771425619774,-4.36977001466681,178.0,173.87418677281133
163,-4.36977001466681,-4.359768603713846,180.0,177.92306595093888
164,-4.359768603713846,-4.349767192760881,181.0,182.06618668313843
165,-4.349767192760881,-4.339765781807917,195.0,186.30574056431075
166,-4.339765781807917,-4.329764370854952,174.0,190.64397006603946
167,-4.329764370854952,-4.319762959901988,211.0,195.08316970923124
168,-4.319762959901988,-4.309761548949023,201.0,199.62568726656883
169,-4.309761548949023,-4.299760137996059,200.0,204.27392499676444
170,-4.299760137996059,-4.289758727043095,198.0,209.03034090465118
171,-4.289758727043095,-4.27975731609013,209.0,213.89745001717446
172,-4.27975731609013,-4.269755905137166,241.0,218.87782572298428
173,-4.269755905137166,-4.259754494184202,213.0,223.9741011060651
174,-4.259754494184202,-4.249753083231237,220.0,229.18897031911595
175,-4.249753083231237,-4.239751672278273,223.0,234.5251900125816
176,-4.239751672278273,-4.229750261325309,233.0,239.98558075970823
177,-4.229750261325309,-4.219748850372344,239.0,245.57302854122534
178,-4.219748850372344,-4.20974743941938,250.0,251.29048625189017
179,-4.20974743941938,-4.199746028466416,257.0,257.1409752507577
180,-4.199746028466416,-4.189744617513451,274.0,263.12758692735093
181,-4.189744617513451,-4.179743206560487,289.0,269.25348432546946
182,-4.179743206560487,-4.169741795607523,267.0,275.52190380078576
183,-4.169741795607523,-4.159740384654558,290.0,281.9361566963294
184,-4.159740384654558,-4.149738973701594,284.0,288.49963108157215
185,-4.149738973701594,-4.139737562748629,305.0,295.21579351933815
186,-4.139737562748629,-4.129736151795665,327.0,302.0881908645148
187,-4.129736151795665,-4.1197347408427,324.0,309.12045212835176
188,-4.1197347408427,-4.109733329889736,333.0,316.31629035468535
189,-4.109733329889736,-4.099731918936772,293.0,323.6795045637386
190,-4.099731918936772,-4.089730507983807,331.0,331.2139817237466
191,-4.089730507983807,-4.079729097030843,345.0,338.92369878419566
192,-4.079729097030843,-4.069727686077879,325.0,346.812724728937
193,-4.069727686077879,-4.059726275124914,359.0,354.8852227028393
194,-4.059726275124914,-4.04972486417195,384.0,363.14545217620446
195,-4.04972486417195,-4.039723453218986,382.0,371.5977711529084
196,-4.039723453218986,-4.029722042266021,378.0,380.2466384361803
197,-4.029722042266021,-4.019720631313057,377.0,389.0966159381078
198,-4.019720631313057,-4.009719220360093,399.0,398.15237104876724
199,-4.009719220360093,-3.9997178094071284,372.0,407.4186790629927
200,-3.9997178094071284,-3.9897163984541644,422.0,416.90042564093295
201,-3.9897163984541644,-3.9797149875012,456.0,426.6026093441341
202,-3.9797149875012,-3.9697135765482354,456.0,436.5303442312482
203,-3.9697135765482354,-3.959712165595271,449.0,446.6888624915046
204,-3.959712165595271,-3.949710754642307,498.0,457.08351715172046
205,-3.949710754642307,-3.9397093436893424,438.0,467.7197848488984
206,-3.9397093436893424,-3.929707932736378,492.0,478.6032686505262
207,-3.929707932736378,-3.9197065217834135,505.0,489.7397009464261
208,-3.9197065217834135,-3.9097051108304495,487.0,501.13494641613096
209,-3.9097051108304495,-3.899703699877485,495.0,512.7950050300481
210,-3.899703699877485,-3.8897022889245205,528.0,524.7260151579491
211,-3.8897022889245205,-3.879700877971556,581.0,536.9342567211862
212,-3.879700877971556,-3.869699467018592,563.0,549.4261544224213
213,-3.869699467018592,-3.8596980560656275,558.0,562.2082810429307
214,-3.8596980560656275,-3.849696645112663,565.0,575.2873608253742
215,-3.849696645112663,-3.839695234159699,603.0,588.6702729181773
216,-3.839695234159699,-3.8296938232067346,604.0,602.364054907364
217,-3.8296938232067346,-3.81969241225377,614.0,616.3759064119912
218,-3.81969241225377,-3.8096910013008056,593.0,630.7131927849208
219,-3.8096910013008056,-3.7996895903478416,674.0,645.3834488612944
220,-3.7996895903478416,-3.789688179394877,660.0,660.3943828282444
221,-3.789688179394877,-3.7796867684419126,652.0,675.7538801383333
222,-3.7796867684419126,-3.769685357488948,698.0,691.4700075521804
223,-3.769685357488948,-3.759683946535984,759.0,707.5510172347522
224,-3.759683946535984,-3.7496825355830197,742.0,724.0053509649422
225,-3.7496825355830197,-3.739681124630055,762.0,740.8416444186882
226,-3.739681124630055,-3.7296797136770907,742.0,758.0687315773052
227,-3.7296797136770907,-3.7196783027241267,795.0,775.6956491795421
228,-3.7196783027241267,-3.709676891771162,784.0,793.7316413386044
229,-3.709676891771162,-3.6996754808181977,825.0,812.1861641949515
230,-3.6996754808181977,-3.6896740698652333,877.0,831.0688907121967
231,-3.6896740698652333,-3.6796726589122692,829.0,850.3897155783449
232,-3.6796726589122692,-3.6696712479593048,866.0,870.1587601706326
233,-3.6696712479593048,-3.6596698370063403,875.0,890.3863776833437
234,-3.6596698370063403,-3.6496684260533763,883.0,911.0831583331391
235,-3.6496684260533763,-3.639667015100412,932.0,932.2599346796637
236,-3.639667015100412,-3.6296656041474473,967.0,953.9277870753414
237,-3.6296656041474473,-3.619664193194483,978.0,976.0980492165342
238,-3.619664193194483,-3.609662782241519,1023.0,998.7823138258784
239,-3.609662782241519,-3.5996613712885543,1018.0,1021.9924384419475
240,-3.5996613712885543,-3.58965996033559,1050.0,1045.7405513599654
241,-3.58965996033559,-3.5796585493826254,1062.0,1070.0390576619604
242,-3.5796585493826254,-3.5696571384296614,1110.0,1094.9006454118821
243,-3.5696571384296614,-3.559655727476697,1147.0,1120.3382919520834
244,-3.559655727476697,-3.5496543165237324,1187.0,1146.365270350853
245,-3.5496543165237324,-3.539652905570768,1241.0,1172.995155993052
246,-3.539652905570768,-3.529651494617804,1206.0,1200.2418332820491
247,-3.529651494617804,-3.5196500836648394,1211.0,1228.119502512585
248,-3.5196500836648394,-3.509648672711875,1229.0,1256.642686862889
249,-3.509648672711875,-3.4996472617589105,1325.0,1285.8262395636816
250,-3.4996472617589105,-3.4896458508059465,1293.0,1315.6853511725212
251,-3.4896458508059465,-3.479644439852982,1345.0,1346.235557052862
252,-3.479644439852982,-3.4696430289000175,1366.0,1377.4927449544768
253,-3.4696430289000175,-3.459641617947053,1422.0,1409.4731628005834
254,-3.459641617947053,-3.449640206994089,1495.0,1442.1934265902464
255,-3.449640206994089,-3.4396387960411245,1464.0,1475.6705285015196
256,-3.4396387960411245,-3.42963738508816,1519.0,1509.9218451317277
257,-3.42963738508816,-3.419635974135196,1509.0,1544.9651459245745
258,-3.419635974135196,-3.4096345631822316,1636.0,1580.8186017542675
259,-3.4096345631822316,-3.399633152229267,1626.0,1617.5007937044184
260,-3.399633152229267,-3.3896317412763026,1701.0,1655.0307219900458
261,-3.3896317412763026,-3.3796303303233386,1733.0,1693.4278150982057
262,-3.3796303303233386,-3.369628919370374,1747.0,1732.7119390836501
263,-3.369628919370374,-3.3596275084174096,1753.0,1772.903407053299
264,-3.3596275084174096,-3.349626097464445,1827.0,1814.0229888554277
265,-3.349626097464445,-3.339624686511481,1893.0,1856.0919209477331
266,-3.339624686511481,-3.3296232755585167,2031.0,1899.1319164442755
267,-3.3296232755585167,-3.319621864605552,1908.0,1943.165175394961
268,-3.319621864605552,-3.3096204536525877,1957.0,1988.2143952359522
269,-3.3096204536525877,-3.2996190426996237,2095.0,2034.3027814507564
270,-3.2996190426996237,-3.289617631746659,2111.0,2081.454058443978
271,-3.289617631746659,-3.2796162207936947,2145.0,2129.692480601899
272,-3.2796162207936947,-3.2696148098407303,2203.0,2179.0428436054767
273,-3.2696148098407303,-3.2596133988877662,2230.0,2229.5304958943893
274,-3.2596133988877662,-3.2496119879348018,2322.0,2281.181350419278
275,-3.2496119879348018,-3.2396105769818373,2312.0,2334.0218965509985
276,-3.2396105769818373,-3.229609166028873,2386.0,2388.0792122442817
277,-3.229609166028873,-3.219607755075909,2395.0,2443.3809764299526
278,-3.219607755075909,-3.2096063441229443,2497.0,2499.9554816039213
